datetime,AC Power/m2,power_factor,PM25,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,WS10M,SZA,T2M_Lag1,PM25_Lag1,Month,Day,Hour,AC Power/m2_Lag1,power_factor_Lag1
2023-01-01 09:00:00,7.982300884955753,0.98,33.4,329.58,0.43,21.78,5.88,56.71,21.79,31.4,1,1,9,,
2023-01-01 10:00:00,9.256637168141593,0.98,34.9,465.67,0.5,21.8,5.46,49.08,21.78,33.4,1,1,10,7.982300884955753,0.98
2023-01-01 11:00:00,15.8141592920354,0.98,39.1,565.33,0.57,21.83,5.1,45.03,21.8,34.9,1,1,11,9.256637168141593,0.98
2023-01-01 12:00:00,17.371681415929203,0.98,33.1,607.75,0.62,21.84,4.75,45.53,21.83,39.1,1,1,12,15.8141592920354,0.98
2023-01-01 13:00:00,12.823008849557525,0.98,27.7,548.62,0.61,21.88,4.5,50.44,21.84,33.1,1,1,13,17.371681415929203,0.98
2023-01-01 14:00:00,13.442477876106194,0.98,25.2,445.5,0.61,21.96,4.42,58.66,21.88,27.7,1,1,14,12.823008849557525,0.98
2023-01-01 15:00:00,8.672566371681416,0.98,22.2,245.55,0.49,22.01,4.46,69.0,21.96,25.2,1,1,15,13.442477876106194,0.98
2023-01-01 16:00:00,0.6991150442477876,0.96,20.0,94.57,0.4,22.03,4.48,80.24,22.01,22.2,1,1,16,8.672566371681416,0.98
2023-01-02 11:00:00,0.4070796460176991,0.905,4.1,707.8,0.71,21.65,3.54,44.96,21.67,4.2,1,2,11,,
2023-01-02 12:00:00,0.4778761061946903,0.96,3.6,695.85,0.7,21.66,3.36,45.42,21.65,4.1,1,2,12,0.4070796460176991,0.905
2023-01-02 13:00:00,0.3451327433628318,0.325,4.1,618.25,0.69,21.72,3.45,50.31,21.66,3.6,1,2,13,0.4778761061946903,0.96
2023-01-02 14:00:00,0.6106194690265486,0.98,6.0,447.75,0.61,21.79,3.74,58.52,21.72,4.1,1,2,14,0.3451327433628318,0.325
2023-01-02 15:00:00,0.0619469026548672,0.55,7.0,287.65,0.57,21.82,4.18,68.87,21.79,6.0,1,2,15,0.6106194690265486,0.98
2023-01-03 08:00:00,0.2743362831858407,0.96,0.3,145.68,0.26,21.17,4.92,66.74,21.83,6.2,1,3,8,,
2023-01-03 09:00:00,3.15929203539823,0.98,0.7,210.27,0.27,21.33,4.95,56.71,21.17,0.3,1,3,9,0.2743362831858407,0.96
2023-01-03 10:00:00,4.088495575221239,0.98,0.5,266.75,0.29,21.49,4.62,49.01,21.33,0.7,1,3,10,3.15929203539823,0.98
2023-01-03 11:00:00,5.761061946902655,0.98,0.8,398.12,0.4,21.62,4.04,44.88,21.49,0.5,1,3,11,4.088495575221239,0.98
2023-01-03 12:00:00,6.36283185840708,0.98,1.2,547.75,0.55,21.72,3.41,45.31,21.62,0.8,1,3,12,5.761061946902655,0.98
2023-01-03 13:00:00,7.345132743362832,0.98,1.1,587.12,0.65,21.8,3.18,50.17,21.72,1.2,1,3,13,6.36283185840708,0.98
2023-01-03 14:00:00,4.460176991150442,0.98,1.8,502.08,0.68,21.92,3.37,58.37,21.8,1.1,1,3,14,7.345132743362832,0.98
2023-01-03 15:00:00,2.557522123893805,0.98,3.9,318.0,0.62,22.06,3.58,68.72,21.92,1.8,1,3,15,4.460176991150442,0.98
2023-01-03 16:00:00,0.8849557522123894,0.98,5.7,126.35,0.51,22.24,3.58,79.89,22.06,3.9,1,3,16,2.557522123893805,0.98
2023-01-04 08:00:00,0.1238938053097345,0.21,11.7,280.08,0.5,22.64,4.98,66.76,22.24,5.7,1,4,8,,
2023-01-04 09:00:00,3.973451327433629,0.98,10.7,472.67,0.61,22.68,4.94,56.7,22.64,11.7,1,4,9,0.1238938053097345,0.21
2023-01-04 10:00:00,15.20353982300885,0.975,12.8,620.12,0.67,22.68,4.94,48.97,22.68,10.7,1,4,10,3.973451327433629,0.98
2023-01-04 11:00:00,13.769911504424778,0.98,13.3,728.6,0.73,22.69,4.95,44.79,22.68,12.8,1,4,11,15.20353982300885,0.975
2023-01-04 12:00:00,13.849557522123892,0.98,15.5,728.45,0.73,22.69,4.87,45.18,22.69,13.3,1,4,12,13.769911504424778,0.98
2023-01-04 13:00:00,16.646017699115045,0.98,17.3,660.3,0.73,22.67,4.71,50.03,22.69,15.5,1,4,13,13.849557522123892,0.98
2023-01-04 14:00:00,20.92920353982301,0.975,16.8,530.08,0.71,22.65,4.49,58.23,22.67,17.3,1,4,14,16.646017699115045,0.98
2023-01-04 15:00:00,21.92920353982301,0.975,19.5,347.83,0.68,22.6,4.17,68.58,22.65,16.8,1,4,15,20.92920353982301,0.975
2023-01-04 16:00:00,7.371681415929204,0.98,26.8,144.88,0.58,22.54,3.91,79.71,22.6,19.5,1,4,16,21.92920353982301,0.975
2023-01-05 08:00:00,6.0,0.98,18.3,241.65,0.43,21.4,6.72,66.78,22.54,26.8,1,5,8,,
2023-01-05 09:00:00,16.831858407079647,0.98,20.8,385.02,0.5,21.39,6.41,56.68,21.4,18.3,1,5,9,6.0,0.98
2023-01-05 10:00:00,4.699115044247788,0.49,19.5,432.88,0.47,21.3,6.06,48.91,21.39,20.8,1,5,10,16.831858407079647,0.98
2023-01-05 11:00:00,5.893805309734513,0.49,19.1,477.08,0.48,21.21,5.79,44.7,21.3,19.5,1,5,11,4.699115044247788,0.49
2023-01-05 12:00:00,6.061946902654867,0.49,19.8,536.38,0.54,21.15,5.51,45.05,21.21,19.1,1,5,12,5.893805309734513,0.49
2023-01-06 12:00:00,6.699115044247788,0.49,9.8,697.88,0.7,21.7,1.75,44.92,21.87,10.4,1,6,12,,
2023-01-06 14:00:00,19.424778761061948,0.975,11.1,487.02,0.65,21.59,0.82,57.92,21.6,9.5,1,6,14,,
2023-01-06 15:00:00,26.035398230088497,0.975,14.8,304.4,0.58,21.6,0.82,68.27,21.59,11.1,1,6,15,19.424778761061948,0.975
2023-01-06 16:00:00,2.274336283185841,0.99,12.9,123.32,0.5,21.65,1.19,79.95,21.6,14.8,1,6,16,26.035398230088497,0.975
2023-01-07 08:00:00,1.0265486725663715,0.985,12.1,377.12,0.68,21.65,2.48,66.79,21.65,12.9,1,7,8,,
2023-01-07 09:00:00,4.787610619469026,0.98,13.3,558.3,0.72,21.66,2.59,56.63,21.65,12.1,1,7,9,1.0265486725663715,0.985
2023-01-07 10:00:00,8.725663716814159,0.98,14.3,692.7,0.75,21.64,2.73,48.79,21.66,13.3,1,7,10,4.787610619469026,0.98
